Program Session,Major,Curriculum,Class,Subject,Cr,Room,Sched. Time
M,PS_BA,BA-2024,M BA-2024 CLASS 1,Survival English,0.0,B301,Thu1
M,PS_BA,BA-2024,M BA-2024 CLASS 5,Microeconomics,3.0,B204,Thu3
M,PS_BA,BA-2024,M BA-2024 CLASS 6,Microeconomics,3.0,B411,Mon3
M,PS_BA,BA-2024,M BA-2024 CLASS 6,Economic Survival 1: Business Creation / Internship Experience,3.0,B307,Tue3
M,PS_BA,BA-2024,M BA-2024 CLASS 4,Digital  Literacy,3.0,B405,Thu4
M,PS_BA,BA-2024,M BA-2024 CLASS 5,Business Mathematics,3.0,B407,Thu4
M,PS_BA,BA-2024,M BA-2024 CLASS 4,Accounting for Decision Making,3.0,B201,Wed1
M,PS_BA,,M PS_BA Multimodal Communication,Multimodal Communication,3.0,B306,Wed4
M,PS_BA,BA-2024,M BA-2024 CLASS 4,Survival English,0.0,B307,Mon3
M,PS_BA,BA-2024,M BA-2024 CLASS 4,Business Mathematics,3.0,B202,Mon3
M,PS_BA,,M PS_BA Statistics and Data Literacy,Statistics and Data Literacy,3.0,B305,Fri1
M,PS_BA,BA-2024,M BA-2024 CLASS 4,Economic Survival 1: Business Creation / Internship Experience,3.0,B404,Wed2
M,PS_BA,BA-2024,M BA-2024 CLASS 4,Microeconomics,3.0,B205,Mon4
M,PS_BA,BA-2024,M BA-2024 CLASS 6,Business Mathematics,3.0,B204,Fri1
M,PS_BA,BA-2024,M BA-2024 CLASS 4,Introduction to Business,3.0,B405,Wed4
M,PS_DI,ID-2023,M ID-2023 ID 2023 Class 1,Public Furniture Design,3.0,C201 (Interior Design Laboratory) (PUCC),Wed2
M,PS_DI,ID-2023,M ID-2023 ID 2023 Class 1,Design Research Methods,3.0,C201 (Interior Design Laboratory) (PUCC),Fri4
M,PS_DI,ID-2023,M ID-2023 ID 2023 Class 1,Digital Presentation Techniques 1,3.0,C201 (Interior Design Laboratory) (PUCC),Mon3
M,PS_DI,ID-2023,M ID-2023 ID 2023 Class 1,Interior Design 2: Retail Space,3.0,C201 (Interior Design Laboratory) (PUCC),Mon5
M,PS_DI,ID-2023,M ID-2023 ID 2023 Class 1,Human Comfort in Interior Design,3.0,C201 (Interior Design Laboratory) (PUCC),Thu5
M,PS_DI,ID-2023,M ID-2023 ID 2023 Class 1,Adaptive Design,3.0,C201 (Interior Design Laboratory) (PUCC),Thu1
M,PS_DI,ID-2024,M ID-2024 ID 2024 Class 1,History of Western Interior Design,2.0,C201 (Interior Design Laboratory) (PUCC),Tue1
M,PS_DI,ID-2024,M ID-2024 ID 2024 Class 1,Color and Light,2.0,C201 (Interior Design Laboratory) (PUCC),Thu4
M,PS_DI,ID-2024,M ID-2024 ID 2024 Class 1,Introduction to Interior Design Studies,3.0,C201 (Interior Design Laboratory) (PUCC),Mon1
M,PS_DI,ID-2024,M ID-2024 ID 2024 Class 1,Ergonomic and Anthropometry,2.0,C201 (Interior Design Laboratory) (PUCC),Wed3
M,PS_DI,ID-2024,M ID-2024 ID 2024 Class 1,Design Drawing and Visualization,3.0,C201 (Interior Design Laboratory) (PUCC),Fri5
M,PS_DI,ID-2023,M ID-2023 ID 2023 Class 1,Digital Presentation Techniques 1,0.0,C201 (Interior Design Laboratory) (PUCC),Wed5
M,PS_DI,ID-2023,M ID-2023 ID 2023 Class 1,Interior Design 2: Retail Space,0.0,C201 (Interior Design Laboratory) (PUCC),Tue2
M,PS_DI,ID-2024,M ID-2024 ID 2024 Class 1,Basic Design Principles,3.0,C201 (Interior Design Laboratory) (PUCC),Wed1
M,PS_DI,ID-2024,M ID-2024 ID 2024 Class 1,Economic Survival 1: Business Creation / Internship Experience,3.0,C201 (Interior Design Laboratory) (PUCC),Fri2
M,PS_DI,ID-2023,M ID-2023 ID 2023 Class 1,Academic Writing,0.0,C201 (Interior Design Laboratory) (PUCC),Fri1
M,PS_DI,ID-2024,M ID-2024 ID 2024 Class 1,Survival English,0.0,C201 (Interior Design Laboratory) (PUCC),Tue3
M,PS_DKV_2017,VCD-2023,M VCD-2023 VCD 2023 Graphic Design & Emerging Media,Academic Writing,0.0,B110 (VCD),Wed4
M,PS_DKV_2017,VCD-2024,M VCD-2024 VCD 2024 Class 3,Basic Design Principles,3.0,B110 (VCD),Thu4
M,PS_DKV_2017,VCD-2024,M VCD-2024 VCD 2024 Class 1,Survival English,0.0,B109 (VCD),Fri5
M,PS_DKV_2017,VCD-2023,M VCD-2023 VCD 2023 Animation & Games,Academic Writing,0.0,B109 (VCD),Mon2
M,PS_DKV_2017,VCD-2024,M VCD-2024 VCD 2024 Class 3,Design History,3.0,LabA210,Wed1
M,PS_DKV_2017,VCD-2024,M VCD-2024 VCD 2024 Class 3,Survival English,0.0,B109 (VCD),Tue5
M,PS_DKV_2017,VCD-2024,M VCD-2024 VCD 2024 Class 3,Design Thinking and Psychology of Perception,3.0,LabA210,Fri2
M,PS_DKV_2017,VCD-2024,M VCD-2024 VCD 2024 Class 2,Survival English,0.0,LabA210,Tue2
M,PS_DKV_2017,VCD-2024,M VCD-2024 VCD 2024 Class 3,"Digital Literacy, Communication and Media Studies",3.0,B110 (VCD),Thu3
M,PS_DKV_2017,VCD-2024,M VCD-2024 VCD 2024 Class 3,Basic Drawing,3.0,B110 (VCD),Tue3
M,PS_DKV_2017,VCD-2023,M VCD-2023 VCD 2023 Graphic Design & Emerging Media,Intermediate Computer Graphics,3.0,B110 (VCD),Fri2
M,PS_DKV_2017,VCD-2023,M VCD-2023 VCD 2023 Graphic Design & Emerging Media,New and Emerging Media,3.0,B110 (VCD),Thu2
M,PS_DKV_2017,VCD-2024,M VCD-2024 VCD 2024 Class 3,Economic Survival 1: Business Creation / Internship Experience,3.0,B110 (VCD),Mon1
M,PS_DKV_2017,VCD-2024,M VCD-2024 VCD 2024 Class 2,Design Thinking and Psychology of Perception,3.0,B109 (VCD),Wed1
M,PS_DKV_2017,VCD-2023,M VCD-2023 VCD 2023 Graphic Design & Emerging Media,Photography and Digital Imaging,3.0,B109 (VCD),Thu4
M,PS_DKV_2017,VCD-2024,M VCD-2024 VCD 2024 Class 2,Design History,3.0,LabA210,Tue3
M,PS_DKV_2017,VCD-2024,M VCD-2024 VCD 2024 Class 1,Design History,3.0,LabA210,Wed3
M,PS_DKV_2017,VCD-2023,M VCD-2023 VCD 2023 Animation & Games,Visual Brand Design,3.0,LabA210,Tue5
M,PS_DKV_2017,VCD-2024,M VCD-2024 VCD 2024 Class 1,Design Thinking and Psychology of Perception,3.0,LabA210,Mon3
M,PS_DKV_2017,VCD-2024,M VCD-2024 VCD 2024 Class 2,"Digital Literacy, Communication and Media Studies",3.0,LabA210,Mon1
M,PS_DKV_2017,VCD-2024,M VCD-2024 VCD 2024 Class 1,"Digital Literacy, Communication and Media Studies",3.0,LabA210,Tue1
M,PS_DKV_2017,VCD-2024,M VCD-2024 VCD 2024 Class 2,Basic Drawing,3.0,B110 (VCD),Mon3
M,PS_DKV_2017,VCD-2024,M VCD-2024 VCD 2024 Class 1,Basic Drawing,3.0,B110 (VCD),Wed1
M,PS_DKV_2017,VCD-2023,M VCD-2023 VCD 2023 Graphic Design & Emerging Media,Layout Design,3.0,LabA210,Fri1
M,PS_DKV_2017,VCD-2024,M VCD-2024 VCD 2024 Class 1,Basic Design Principles,3.0,LabA210,Thu3
M,PS_DKV_2017,VCD-2024,M VCD-2024 VCD 2024 Class 2,Basic Design Principles,3.0,B110 (VCD),Thu5
M,PS_DKV_2017,VCD-2024,M VCD-2024 VCD 2024 Class 1,Economic Survival 1: Business Creation / Internship Experience,3.0,B110 (VCD),Wed2
M,PS_DKV_2017,VCD-2023,M VCD-2023 VCD 2023 Animation & Games,Audio Visual Production Methods,3.0,LabA210,Tue4
M,PS_DKV_2017,VCD-2023,M VCD-2023 VCD 2023 Animation & Games,Intermediate Computer Graphics,3.0,LabA210,Thu5
M,PS_DKV_2017,VCD-2023,M VCD-2023 VCD 2023 Animation & Games,Nusantara Visual Culture,3.0,B110 (VCD),Mon4
M,PS_DKV_2017,VCD-2023,M VCD-2023 VCD 2023 Graphic Design & Emerging Media,Illustration,3.0,B110 (VCD),Fri1
M,PS_DKV_2017,VCD-2023,M VCD-2023 VCD 2023 Animation & Games,Illustration,3.0,LabA210,Wed5
M,PS_DKV_2017,VCD-2023,M VCD-2023 VCD 2023 Animation & Games,Photography and Cinematography,3.0,B109 (VCD),Tue3
M,PS_DKV_2017,VCD-2023,M VCD-2023 VCD 2023 Animation & Games,Basic Animation,3.0,B109 (VCD),Wed4
M,PS_DKV_2017,VCD-2023,M VCD-2023 VCD 2023 Graphic Design & Emerging Media,Visual Brand Design,3.0,B110 (VCD),Tue1
M,PS_DKV_2017,VCD-2024,M VCD-2024 VCD 2024 Class 2,Economic Survival 1: Business Creation / Internship Experience,3.0,LabA210,Mon4
M,PS_DKV_2017,VCD-2023,M VCD-2023 VCD 2023 Graphic Design & Emerging Media,Nusantara Visual Culture,3.0,LabA210,Thu2
M,PS_HI,IR-2023,M IR-2023 Class 7 Mandarin,International Security,3.0,B108,Thu3
M,PS_HI,IR-2023,M IR-2023 Class 6 Mandarin,International Security,3.0,B208,Mon2
M,PS_HI,IR-2023,M IR-2023 Class 1 French,French 1,3.0,B301,Mon4
M,PS_HI,IR-2023,M IR-2023 Class 2 French,French 1,3.0,B402,Thu4
M,PS_HI,IR-2023,M IR-2023 Class 3 French,French 1,3.0,B301,Wed4
M,PS_HI,IR-2023,M IR-2023 Class 7 Mandarin,Academic Writing,0.0,B210,Thu4
M,PS_HI,IR-2023,M IR-2023 Class 7 Mandarin,Mandarin 1,3.0,B102,Tue1
M,PS_HI,IR-2023,M IR-2023 Class 4 Japanese,Japanese 1,3.0,B208,Thu1
M,PS_HI,IR-2023,M IR-2023 Class 5 Japanese,Japanese 1,3.0,B209,Tue3
M,PS_HI,IR-2024,M IR-2024 Class 1,Economic Survival 1: Business Creation / Internship Experience,3.0,B211,Tue4
M,PS_HI,IR-2024,M IR-2024 Class 2,Economic Survival 1: Business Creation / Internship Experience,3.0,B202,Wed2
M,PS_HI,IR-2024,M IR-2024 Class 3,Economic Survival 1: Business Creation / Internship Experience,3.0,B209,Mon4
M,PS_HI,IR-2024,M IR-2024 Class 4,Economic Survival 1: Business Creation / Internship Experience,3.0,B404,Wed3
M,PS_HI,IR-2024,M IR-2024 Class 5,Economic Survival 1: Business Creation / Internship Experience,3.0,B104,Thu2
M,PS_HI,IR-2024,M IR-2024 Class 6,Economic Survival 1: Business Creation / Internship Experience,3.0,B310,Mon3
M,PS_HI,IR-2023,M IR-2023 Class 6 Mandarin,Mandarin 1,3.0,B208,Thu3
M,PS_HI,IR-2023,M IR-2023 Class 5 Japanese,International Security,3.0,B401,Fri4
M,PS_HI,IR-2023,M IR-2023 Class 4 Japanese,International Political Economy,3.0,B208,Mon1
M,PS_HI,IR-2023,M IR-2023 Class 3 French,International Security,3.0,B301,Wed1
M,PS_HI,IR-2024,M IR-2024 Class 4,Survival English,0.0,B103,Fri4
M,PS_HI,IR-2022,M IR-2022 Class 1,Civil Society Organization in International Relations (Project-based),3.0,B302,Tue5
M,PS_HI,IR-2022,M IR-2022 Class 2,East Asia in the World,3.0,B105,Thu1
M,PS_HI,IR-2022,M IR-2022 Class 3,World War and World Orders,3.0,B310,Tue1
M,PS_HI,IR-2022,M IR-2022 Class 4,Migration and Multiculturalism,3.0,B207,Mon3
M,PS_HI,IR-2022,M IR-2022 Class 5,Negotiation Technique and Lobbying,3.0,B108,Wed1
M,PS_HI,IR-2023,M IR-2023 Class 1 French,Foreign Policy Analysis,3.0,B404,Thu2
M,PS_HI,IR-2023,M IR-2023 Class 2 French,Foreign Policy Analysis,3.0,B407,Thu2
M,PS_HI,IR-2023,M IR-2023 Class 3 French,Foreign Policy Analysis,3.0,B304,Tue3
M,PS_HI,IR-2023,M IR-2023 Class 4 Japanese,Foreign Policy Analysis,3.0,B411,Thu4
M,PS_HI,IR-2023,M IR-2023 Class 4 Japanese,International Security,3.0,B203,Tue4
M,PS_HI,IR-2023,M IR-2023 Class 5 Japanese,Foreign Policy Analysis,3.0,B409,Mon5
M,PS_HI,IR-2023,M IR-2023 Class 7 Mandarin,Foreign Policy Analysis,3.0,B305,Mon5
M,PS_HI,IR-2023,M IR-2023 Class 1 French,International Political Economy,3.0,B304,Wed3
M,PS_HI,IR-2023,M IR-2023 Class 2 French,International Political Economy,3.0,B104,Thu4
M,PS_HI,IR-2023,M IR-2023 Class 3 French,International Political Economy,3.0,B304,Tue1
M,PS_HI,IR-2024,M IR-2024 Class 7,Economic Survival 1: Business Creation / Internship Experience,3.0,A420,Wed4
M,PS_HI,IR-2023,M IR-2023 Class 5 Japanese,International Political Economy,3.0,B209,Mon5
M,PS_HI,IR-2023,M IR-2023 Class 6 Mandarin,International Political Economy,3.0,B304,Mon2
M,PS_HI,IR-2023,M IR-2023 Class 7 Mandarin,International Political Economy,3.0,B403,Tue2
M,PS_HI,IR-2023,M IR-2023 Class 1 French,International Security,3.0,B103,Tue3
M,PS_HI,IR-2023,M IR-2023 Class 2 French,International Security,3.0,B208,Fri2
M,PS_HI,IR-2023,M IR-2023 Class 6 Mandarin,Foreign Policy Analysis,3.0,B406,Thu3
M,PS_HI,IR-2024,M IR-2024 Class 1,Leadership,3.0,B406,Wed4
M,PS_HI,IR-2024,M IR-2024 Class 5,Leadership,3.0,B308,Fri4
M,PS_HI,IR-2024,M IR-2024 Class 3,Leadership,3.0,B406,Tue1
M,PS_HI,IR-2023,M IR-2023 Class 4 Japanese,International Migration,3.0,B210,Tue3
M,PS_HI,IR-2023,M IR-2023 Class 5 Japanese,International Culture and Communication,3.0,B405,Thu3
M,PS_HI,IR-2023,M IR-2023 Class 3 French,International Culture and Communication,3.0,B103,Tue1
M,PS_HI,IR-2023,M IR-2023 Class 4 Japanese,Public Diplomacy,3.0,B310,Mon1
M,PS_HI,IR-2023,M IR-2023 Class 2 French,Public Diplomacy,3.0,B311,Tue2
M,PS_HI,IR-2023,M IR-2023 Class 3 French,World Wars and World Orders,3.0,B401,Thu2
M,PS_HI,IR-2023,M IR-2023 Class 2 French,Digital Literacy and Communication,3.0,B201,Mon5
M,PS_HI,IR-2024,M IR-2024 Class 3,Introduction to Political Science,3.0,A421,Tue2
M,PS_HI,IR-2024,M IR-2024 Class 4,Introduction to Political Science,3.0,B304,Mon1
M,PS_HI,IR-2024,M IR-2024 Class 5,Introduction to Political Science,3.0,B408,Thu2
M,PS_HI,IR-2024,M IR-2024 Class 6,Introduction to Political Science,3.0,B302,Thu5
M,PS_HI,IR-2024,M IR-2024 Class 7,Introduction to Political Science,3.0,B408,Mon2
M,PS_HI,IR-2024,M IR-2024 Class 2,Introduction to Political Science,3.0,B105,Wed3
M,PS_HI,IR-2024,M IR-2024 Class 1,Foundation in Social Sciences and Humanities,3.0,B302,Fri1
M,PS_HI,IR-2024,M IR-2024 Class 3,Foundation in Social Sciences and Humanities,3.0,B105,Fri4
M,PS_HI,IR-2024,M IR-2024 Class 4,Foundation in Social Sciences and Humanities,3.0,B206,Thu5
M,PS_HI,IR-2024,M IR-2024 Class 5,Foundation in Social Sciences and Humanities,3.0,B411,Thu1
